,files
108,"['communicable', 'disease', 'mental', 'health', 'premature', 'death', 'owing', 'cardiovascular', 'disease', 'cancer', 'chronic', 'respiratory', 'disease', 'diabetes', 'totalled', 'accounting', 'premature', 'death', 'globally', 'risk', 'dying', 'cause', 'decreased', 'falling', 'short', 'rate', 'required', 'meet', 'target', 'reduction', 'mental', 'disorder', 'depression', 'lead', 'suicide', 'nearly', 'suicide', 'occurred', 'worldwide', 'twice', 'commit', 'suicide', 'woman', 'tobacco', 'alcohol', 'contributes', 'burden', 'communicable', 'disease', 'world', 'health', 'organization', 'framework', 'convention', 'tobacco', 'control', 'ratified', 'represent', 'global', 'population', 'communicable_disease', 'mental_health', 'premature_death', 'cardiovascular_disease', 'chronic_respiratory', 'premature_death', 'required_meet', 'communicable_disease', 'health_organization', 'framework_convention']"
109,"['consumed', 'tobacco', 'prevalence', 'smoking', 'individual', 'older', 'dropped', 'consumption', 'pure', 'alcohol', 'litre', 'individual', 'older', 'indoor', 'ambient', 'pollution', 'greatest', 'environmental', 'health', 'risk', 'globally', 'household', 'pollution', 'cooking', 'unclean', 'fuel', 'inefficient', 'technology', 'estimated', 'death', 'ambient', 'pollution', 'traffic', 'industrial', 'source', 'waste', 'burning', 'residential', 'fuel', 'combustion', 'resulted', 'estimated', 'death', 'health', 'risk', 'died', 'road', 'traffic', 'injury', 'leading', 'cause', 'death', 'male', 'ambient_pollution', 'ambient_pollution', 'road_traffic', 'leading_cause']"
110,"['worldwide', 'estimated', 'died', 'result', 'unintentional', 'poisoning', 'figure', 'represents', 'death', 'decrease', 'health', 'funding', 'official', 'flow', 'medical', 'research', 'basic', 'health', 'donor', 'country', 'multilateral', 'organization', 'amounted', 'increase', 'term', 'member', 'country', 'development', 'assistance', 'committee', 'oecd', 'contributed', 'available', 'indicate', 'country', 'physician', 'fewer', 'nurse', 'midwife', 'developed', 'country', 'physician', 'fewer', 'nurse', 'midwife', 'goal', 'seek', 'ensure', 'health', 'stage', 'life', 'health_funding', 'official_flow', 'increase_term', 'development_assistance', 'available_indicate', 'nurse_midwife', 'developed_country', 'nurse_midwife']"
111,"['research', 'development', 'health', 'financing', 'strengthened', 'capacity', 'country', 'health', 'risk', 'reduction', 'management', 'global', 'maternal', 'mortality', 'ratio', 'number', 'maternal', 'death', 'live', 'declined', 'estimated', 'ratio', 'live', 'maternal', 'death', 'occur', 'resource', 'setting', 'prevented', 'globally', 'assisted', 'skilled', 'health', 'care', 'personnel', 'mortality', 'rate', 'fell', 'rapidly', 'declining', 'globally', 'estimated', 'child', 'died', 'global', 'mortality', 'rate', 'live', 'neonatal', 'mortality', 'rate', 'likelihood', 'dying', 'life', 'declined', 'death', 'live', 'death', 'live', 'research_development', 'risk_reduction', 'maternal_mortality', 'maternal_death', 'maternal_death', 'health_care', 'mortality_rate', 'mortality_rate', 'neonatal_mortality', 'death_live', 'death_live']"
112,"['preventing', 'unintended', 'pregnancy', 'reducing', 'adolescent', 'childbearing', 'universal', 'access', 'sexual', 'reproductive', 'health', 'care', 'service', 'critical', 'advance', 'health', 'woman', 'child', 'adolescent', 'worldwide', 'approximately', 'woman', 'reproductive', 'married', 'union', 'satisfied', 'need', 'family', 'planning', 'modern', 'contraceptive', 'method', 'saharan', 'africa', 'oceania', 'childbearing', 'adolescence', 'steadily', 'declined', 'region', 'wide', 'disparity', 'persist', 'rate', 'adolescent', 'girl', 'aged', 'ranged', 'girl', 'eastern', 'asia', 'girl', 'saharan', 'africa', 'incidence', 'major', 'infectious', 'disease', 'including', 'tuberculosis', 'malaria', 'declined', 'globally', 'globally', 'number', 'infection', 'universal_access', 'sexual_reproductive', 'health_care', 'child_adolescent', 'woman_reproductive', 'married_union', 'family_planning', 'modern_contraceptive', 'saharan_africa', 'adolescent_girl', 'eastern_asia', 'saharan_africa', 'infectious_disease', 'tuberculosis_malaria']"
113,"['newly', 'infected', 'incidence', 'highest', 'saharan', 'africa', 'uninfected', 'tuberculosis', 'reported', 'worldwide', 'south', 'eastern', 'asia', 'western', 'pacific', 'world', 'population', 'risk', 'malaria', 'incidence', 'rate', 'risk', 'estimated', 'saharan', 'africa', 'accounted', 'malaria', 'worldwide', 'incidence', 'rate', 'risk', 'country', 'required', 'treatment', 'neglected', 'tropical', 'disease', 'according', 'estimate', 'death', 'accounting', 'death', 'worldwide', 'attributable', 'communicable', 'disease', 'saharan_africa', 'south_eastern', 'world_population', 'malaria_incidence', 'saharan_africa', 'neglected_tropical', 'communicable_disease']"
114,"['quarter', 'premature', 'death', 'caused', 'cardiovascular', 'disease', 'cancer', 'diabetes', 'chronic', 'respiratory', 'disease', 'globally', 'premature', 'mortality', 'main', 'category', 'communicable', 'disease', 'declined', 'reducing', 'tobacco', 'critical', 'meeting', 'proposed', 'target', 'reducing', 'premature', 'mortality', 'communicable', 'disease', 'consumed', 'tobacco', 'male', 'female', 'smoker', 'unhealthy', 'environmental', 'condition', 'increase', 'risk', 'communicable', 'infectious', 'disease', 'reflected', 'strong', 'integrated', 'nature', 'goal', 'estimated', 'died', 'infectious', 'disease', 'caused', 'largely', 'faecal', 'contamination', 'water', 'soil', 'inadequate', 'hand', 'washing', 'facility', 'practice', 'resulting', 'poor', 'existent', 'sanitation', 'service', 'premature_death', 'cardiovascular_disease', 'cancer_diabetes', 'chronic_respiratory', 'premature_mortality', 'communicable_disease', 'premature_mortality', 'communicable_disease', 'infectious_disease', 'infectious_disease', 'water_soil', 'sanitation_service']"
115,"['death', 'substance', 'substance', 'disorder', 'created', 'significant', 'public', 'health', 'burden', 'worldwide', 'alcohol', 'consumption', 'estimated', 'pure', 'alcohol', 'aged', 'older', 'wide', 'variation', 'country', 'alcohol', 'consumption', 'highest', 'developed', 'region', 'lowest', 'northern', 'africa', 'worldwide', 'suffering', 'drug', 'disorder', 'received', 'treatment', 'approximately', 'drug', 'disorder', 'received', 'treatment', 'africa', 'compared', 'western', 'central', 'europe', 'mental', 'disorder', 'occur', 'region', 'culture', 'common', 'anxiety', 'depression', 'infrequently', 'lead', 'suicide', 'estimated', 'worldwide', 'committed', 'suicide', 'alcohol_consumption', 'alcohol_consumption', 'developed_region', 'northern_africa']"
116,"['died', 'road', 'traffic', 'injury', 'halving', 'number', 'global', 'death', 'injury', 'road', 'traffic', 'accident', 'ambitious', 'goal', 'given', 'dramatic', 'increase', 'number', 'vehicle', 'nearly', 'doubled', 'official', 'flow', 'provider', 'medical', 'research', 'basic', 'health', 'sector', 'official', 'development', 'assistance', 'donor', 'increase', 'term', 'united', 'kingdom', 'great', 'britain', 'northern', 'ireland', 'united', 'state', 'america', 'accounting', 'spent', 'malaria', 'control', 'spent', 'infectious', 'disease', 'excluding', 'reduce', 'global', 'maternal', 'mortality', 'ratio', 'live', 'road_traffic', 'road_traffic', 'official_flow', 'official_development', 'increase_term', 'united_kingdom', 'great_britain', 'northern_ireland', 'united_state', 'infectious_disease', 'maternal_mortality']"
117,"['proportion', 'attended', 'skilled', 'health', 'personnel', 'preventable', 'death', 'newborn', 'child', 'country', 'aiming', 'reduce', 'neonatal', 'mortality', 'live', 'mortality', 'live', 'mortality', 'rate', 'neonatal', 'mortality', 'rate', 'epidemic', 'tuberculosis', 'malaria', 'neglected', 'tropical', 'disease', 'combat', 'hepatitis', 'water', 'borne', 'disease', 'communicable', 'disease', 'number', 'infection', 'uninfected', 'population', 'population', 'tuberculosis', 'incidence', 'population', 'malaria', 'incidence', 'population', 'hepatitis', 'incidence', 'population', 'number', 'requiring', 'intervention', 'neglected', 'tropical', 'disease', 'reduce', 'premature', 'mortality', 'communicable', 'disease', 'prevention', 'treatment', 'promote', 'mental', 'health', 'newborn_child', 'neonatal_mortality', 'mortality_rate', 'neonatal_mortality', 'tuberculosis_malaria', 'neglected_tropical', 'water_borne', 'communicable_disease', 'infection_uninfected', 'malaria_incidence', 'neglected_tropical', 'premature_mortality', 'communicable_disease', 'prevention_treatment', 'mental_health']"
118,"['suicide', 'mortality', 'rate', 'strengthen', 'prevention', 'treatment', 'substance', 'abuse', 'including', 'narcotic', 'drug', 'abuse', 'harmful', 'alcohol', 'coverage', 'treatment', 'intervention', 'pharmacological', 'psychosocial', 'rehabilitation', 'aftercare', 'service', 'substance', 'disorder', 'harmful', 'alcohol', 'defined', 'according', 'national', 'context', 'alcohol', 'consumption', 'aged', 'older', 'calendar', 'litre', 'pure', 'alcohol', 'halve', 'number', 'global', 'death', 'injury', 'road', 'traffic', 'accident', 'death', 'rate', 'road', 'traffic', 'injury', 'ensure', 'universal', 'access', 'sexual', 'reproductive', 'health', 'care', 'service', 'including', 'family', 'planning', 'information', 'education', 'integration', 'reproductive', 'health', 'national', 'strategy', 'programme', 'proportion', 'woman', 'reproductive', 'aged', 'need', 'family', 'planning', 'satisfied', 'modern', 'method', 'mortality_rate', 'prevention_treatment', 'alcohol_consumption', 'road_traffic', 'road_traffic', 'universal_access', 'sexual_reproductive', 'health_care', 'family_planning', 'reproductive_health', 'woman_reproductive', 'family_planning']"
119,"['achieve', 'universal', 'health', 'coverage', 'including', 'financial', 'risk', 'protection', 'access', 'quality', 'essential', 'health', 'care', 'service', 'access', 'safe', 'effective', 'quality', 'affordable', 'essential', 'medicine', 'vaccine', 'coverage', 'essential', 'health', 'service', 'defined', 'coverage', 'essential', 'service', 'based', 'tracer', 'intervention', 'include', 'reproductive', 'maternal', 'newborn', 'child', 'health', 'infectious', 'disease', 'communicable', 'disease', 'service', 'capacity', 'access', 'general', 'disadvantaged', 'population', 'proportion', 'population', 'large', 'household', 'expenditure', 'health', 'household', 'expenditure', 'income', 'substantially', 'reduce', 'number', 'death', 'illness', 'hazardous', 'chemical', 'water', 'soil', 'pollution', 'contamination', 'mortality', 'rate', 'attributed', 'household', 'ambient', 'pollution', 'mortality', 'rate', 'attributed', 'health', 'worker', 'density', 'distribution', 'achieve_universal', 'essential_health', 'access_safe', 'essential_medicine', 'essential_health', 'reproductive_maternal', 'newborn_child', 'infectious_disease', 'communicable_disease', 'substantially_reduce', 'hazardous_chemical', 'water_soil', 'mortality_rate', 'ambient_pollution', 'mortality_rate']"
120,"['international', 'health', 'regulation', 'capacity', 'health', 'emergency', 'preparedness', 'ensure', 'healthy', 'life', 'promote', 'significant', 'stride', 'increasing', 'life', 'expectancy', 'reducing', 'common', 'killer', 'associated', 'child', 'maternal', 'mortality', 'worldwide', 'mortality', 'rate', 'decreased', 'percent', 'death', 'live', 'death', 'live', 'number', 'child', 'dying', 'extremely', 'newborn', 'account', 'growing', 'number', 'death', 'poorer', 'child', 'greatest', 'risk', 'mortality', 'number', 'factor', 'goal', 'reduce', 'mortality', 'live', 'current', 'trend', 'continue', 'country', 'miss', 'neonatal', 'mortality', 'target', 'life_expectancy', 'maternal_mortality', 'mortality_rate', 'death_live', 'death_live', 'current_trend', 'neonatal_mortality']"
121,"['goal', 'reduce', 'maternal', 'mortality', 'death', 'live', 'maternal', 'mortality', 'ratio', 'declined', 'unsafe', 'water', 'unsafe', 'sanitation', 'lack', 'hygiene', 'exposure', 'unsafe', 'water', 'sanitation', 'hygiene', 'wash', 'service', 'mortality', 'rate', 'attributed', 'unintentional', 'poisoning', 'strengthen', 'implementation', 'world', 'health', 'organization', 'framework', 'convention', 'tobacco', 'control', 'country', 'appropriate', 'standardized', 'prevalence', 'current', 'tobacco', 'aged', 'older', 'support', 'research', 'development', 'vaccine', 'medicine', 'communicable', 'communicable', 'disease', 'primarily', 'affect', 'developing', 'country', 'provide', 'access', 'affordable', 'essential', 'medicine', 'vaccine', 'accordance', 'doha', 'declaration', 'trip', 'agreement', 'public', 'health', 'affirms', 'right', 'developing', 'country', 'provision', 'agreement', 'trade', 'related', 'aspect', 'intellectual', 'property', 'right', 'flexibility', 'protect', 'public', 'health', 'particular', 'provide', 'access', 'medicine', 'maternal_mortality', 'death_live', 'maternal_mortality', 'water_sanitation', 'mortality_rate', 'health_organization', 'framework_convention', 'research_development', 'communicable_disease', 'developing_country', 'access_affordable', 'essential_medicine', 'developing_country', 'trade_related']"
122,"['official', 'development', 'assistance', 'medical', 'research', 'basic', 'health', 'sector', 'substantially', 'increase', 'health', 'financing', 'recruitment', 'development', 'training', 'retention', 'health', 'workforce', 'developing', 'country', 'especially', 'developed', 'country', 'island', 'developing', 'state', 'need', 'addressed', 'gradually', 'woman', 'unmet', 'need', 'contraception', 'goal', 'achieve', 'universal', 'health', 'coverage', 'including', 'access', 'essential', 'medicine', 'vaccine', 'proposes', 'preventable', 'death', 'newborn', 'child', 'epidemic', 'tuberculosis', 'malaria', 'water', 'borne', 'disease', 'example', 'rate', 'dose', 'pertussis', 'vaccine', 'dose', 'measles', 'vaccine', 'reached', 'percent', 'percent', 'respectively', 'child', 'receive', 'receive', 'official_development', 'substantially_increase', 'developing_country', 'developed_country', 'island_developing', 'achieve_universal', 'essential_medicine', 'newborn_child', 'tuberculosis_malaria', 'water_borne', 'measles_vaccine']"
123,"['attention', 'health', 'includes', 'target', 'related', 'prevention', 'treatment', 'substance', 'abuse', 'death', 'injury', 'traffic', 'accident', 'hazardous', 'chemical', 'water', 'soil', 'pollution', 'contamination', 'number', 'childhood', 'death', 'prof', 'possible', 'fight', 'disease', 'spending', 'astonishing', 'money', 'resource', 'treating', 'illness', 'surprisingly', 'easy', 'prevent', 'goal', 'worldwide', 'good', 'health', 'promotes', 'healthy', 'lifestyle', 'preventive', 'measure', 'modern', 'efficient', 'healthcare', 'percent', 'approximately', 'maternal', 'death', 'worldwide', 'preventable', 'cause', 'maternal', 'health', 'condition', 'leading', 'cause', 'death', 'girl', 'aged', 'prevention_treatment', 'traffic_accident', 'hazardous_chemical', 'water_soil', 'maternal_death', 'leading_cause', 'girl_aged']"
